127.0.0.1 - - [06/Sep/2016:16:47:50 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [06/Sep/2016:16:47:50 +0200] "GET /test2/WEB-INF/classes/updateelements/CompetenceUpdaterSimplifiedUpdateRule.java HTTP/1.1" 404 949
192.168.178.75 - - [06/Sep/2016:16:48:01 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:16:56:02 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:16:56:28 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:16:58:00 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:16:58:20 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:15:04 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:15:59 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:16:08 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:16:55 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:17:28 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:17:51 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:18:06 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:18:13 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:18:37 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:18:50 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:28:15 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:31:27 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:31:45 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:32:14 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:32:58 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:33:03 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:34:22 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:37:25 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:51:35 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:57:28 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:57:38 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:58:26 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:58:35 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:58:56 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:17:59:35 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:00:34 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:01:59 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:02:27 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:15:06 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:16:23 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:36:30 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:38:24 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:40:13 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:40:30 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:42:23 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:43:21 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:44:55 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:45:11 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:49:58 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:18:52:01 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
192.168.178.75 - - [06/Sep/2016:19:28:06 +0200] "GET /test2/rest/login?name=teacher1&password=teacher1 HTTP/1.1" 200 4394
